size_fasta,min_len,max_gap,mismatches,cpp_timing,rust_timing
10000,14,2,0,0.010829877,0.005791088
10000,14,2,1,0.02079008,0.008459258
10000,14,2,2,0.033586569,0.012890281
10000,14,2,3,0.053032836,0.017001394
10000,14,2,4,0.065850795,0.02090185
10000,14,2,5,0.07537119,0.023885758
10000,14,2,6,0.080520939,0.026594858
10000,14,2,7,0.08300432,0.029100588
10000,14,2,8,0.095284962,0.031297438
10000,14,3,0,0.011461306,0.006346085
10000,14,3,1,0.022072975,0.009054635
10000,14,3,2,0.03891229,0.013287908
10000,14,3,3,0.053932682,0.018337609
10000,14,3,4,0.067246262,0.022202154
10000,14,3,5,0.076272006,0.026005469
10000,14,3,6,0.09047149,0.028917639
10000,14,3,7,0.096393478,0.030480052
10000,14,3,8,0.101483088,0.032663013
10000,14,4,0,0.011424886,0.006432305
10000,14,4,1,0.023178671,0.009512893
10000,14,4,2,0.039255319,0.013990236
10000,14,4,3,0.063839083,0.019240347
10000,14,4,4,0.078537745,0.025245432
10000,14,4,5,0.08313792,0.027380614
10000,14,4,6,0.092766782,0.030717072
10000,14,4,7,0.10105532,0.034117168
10000,14,4,8,0.103975409,0.034066759
10000,14,5,0,0.012170192,0.006966124
10000,14,5,1,0.024058857,0.009568323
10000,14,5,2,0.042407876,0.016669386
10000,14,5,3,0.061867492,0.02066742
10000,14,5,4,0.088545018,0.026675167
10000,14,5,5,0.092223424,0.029789155
10000,14,5,6,0.096956236,0.033265902
10000,14,5,7,0.102001976,0.034756126
10000,14,5,8,0.109046399,0.036918617
10000,16,0,0,0.009229775,0.006121587
10000,16,0,1,0.013541357,0.006934084
10000,16,0,2,0.020996878,0.009031986
10000,16,0,3,0.029245807,0.011977084
10000,16,0,4,0.038118852,0.014015487
10000,16,0,5,0.04383269,0.016435406
10000,16,0,6,0.051364702,0.01830022
10000,16,0,7,0.055829404,0.020253432
10000,16,0,8,0.060149838,0.021804996
10000,16,1,0,0.008976916,0.005327208
10000,16,1,1,0.016877816,0.008799336
10000,16,1,2,0.028146421,0.013361869
10000,16,1,3,0.04135623,0.01549375
10000,16,1,4,0.058825173,0.019886093
10000,16,1,5,0.069709032,0.022578013
10000,16,1,6,0.074261472,0.024897724
10000,16,1,7,0.08060401,0.027334064
10000,16,1,8,0.091230058,0.029990975
10000,16,2,0,0.009423054,0.005989626
10000,16,2,1,0.017790212,0.007869429
10000,16,2,2,0.031564498,0.011267057
10000,16,2,3,0.046822439,0.016057508
10000,16,2,4,0.063899063,0.020175553
10000,16,2,5,0.071949831,0.023729619
10000,16,2,6,0.085922787,0.026898786
10000,16,2,7,0.083428269,0.029153666
10000,16,2,8,0.096243359,0.032608913
10000,16,3,0,0.0105243,0.006255946
10000,16,3,1,0.01821731,0.008188218
10000,16,3,2,0.034680156,0.012183003
10000,16,3,3,0.048442313,0.016969045
10000,16,3,4,0.070570737,0.021215698
10000,16,3,5,0.077587251,0.025437402
10000,16,3,6,0.090292991,0.028329891
10000,16,3,7,0.09056592,0.030629292
10000,16,3,8,0.112561247,0.032912543
10000,16,4,0,0.010327881,0.006301865
10000,16,4,1,0.019665525,0.008641965
10000,16,4,2,0.03660468,0.012989949
10000,16,4,3,0.058249906,0.017658631
10000,16,4,4,0.067657939,0.022234594
10000,16,4,5,0.081427836,0.027077576
10000,16,4,6,0.0958961,0.029655886
10000,16,4,7,0.113092832,0.032462865
10000,16,4,8,0.104265418,0.034709485
10000,16,5,0,0.011360257,0.006046426
10000,16,5,1,0.020065783,0.008473627
10000,16,5,2,0.038050964,0.013056929
10000,16,5,3,0.053228704,0.018405349
10000,16,5,4,0.076514545,0.02332402
10000,16,5,5,0.08796173,0.02834205
10000,16,5,6,0.104042229,0.031244029
10000,16,5,7,0.107694874,0.034119049
10000,16,5,8,0.107387036,0.036576629
